Notebook,Vessel,Temperature,Location,Substrate SMILES,Substrate Conc (M),Catalyst 1,Catalyst1 SMILES,Catalyst1 Conc (M),Reductant,Reductant SMILES,Reductant Conc (M),Solvent1,Analytical Method,number,Output Value
AO-07,1536,50,10:I,CN(CC1=CC=CC=C1)CC2=C(C=CC3=C2OC(=CC4=CC=CC=C4F)C3=O)O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,394,17.101
AO-07,1536,50,11:I,CN(C1=CC=CC=C1)C2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,395,19.095
AO-07,1536,50,12:I,C1=CC(=CC=C1C2=CC=C(O2)C(=O)NCC3=CC=NC=C3)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,396,23.222
AO-07,1536,50,13:I,CCC(NC(NC1=CC=CC=C1C)=O)C,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,397,49.85
AO-07,1536,50,14:I,C1CN(CCN1CC2=CC=CC3=CC=CC=C32)C4=CC=CC=C4F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,398,14.618
AO-07,1536,50,15:I,C1=CC=C(C=C1)NC(=O)C2=NN=C(C=C2)OC3=CC=CC=C3C#N,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,399,23.5
AO-07,1536,50,16:I,C1CN(CCN1C2=CC=CC=C2F)C3=CC(=NC4=NC=NN34)C(F)(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,400,16.581
AO-07,1536,50,17:I,C1CN(CCN1CC2=CC(=CC=C2)Br)C(=O)C3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,401,0
AO-07,1536,50,18:I,CC(=CC1=CC=CC=C1)C(=O)N2CCN(CC2)C3=CC=CC=C3OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,402,13.117
AO-07,1536,50,19:I,C1CCC2=C(C1)C3=C(O2)C=CC(=C3)OC(=O)C4=CC=CC=C4[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,403,0
AO-07,1536,50,20:I,C1COCCN1C(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,404,0
AO-07,1536,50,21:I,C1=CC=C(C=C1)C(=O)OC2=CC3=CC=CC=C3C=C2,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,405,17.636
AO-07,1536,50,22:I,CC1=CC(=NC(=N1)N2CCN(CC2)C(=O)C3=CC=CC=C3)OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,406,13.044
AO-07,1536,50,23:I,CC(=O)NC1=CC=CC(=C1)C(=O)NCCCCN2CCN(CC2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,407,28.964
AO-07,1536,50,24:I,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,408,21.974
AO-07,1536,50,25:I,CCOC(=O)C1=NN(C2C1C(=O)N(C2=O)C3=C(C(=CC=C3)Cl)C)C4=CC=CC=C4Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,409,95.251
AO-07,1536,50,26:I,C1CC1N2CC3(CCC2=O)CCN(CC3)C(=O)NCC4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,410,50.104
AO-07,1536,50,27:I,CC1=CN2C=C(N=C2C=C1)C(=O)N3CCC(CC3)C4=NC(=NO4)C5=CC=CC=C5,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,411,43.342
AO-07,1536,50,28:I,C1=CC=C(C(=C1)C2=CC=C(O2)CO)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,412,97.918
AO-07,1536,50,29:I,CC1=CC=CC=C1COC(=O)C2=NNC(=O)C3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,413,33.704
AO-07,1536,50,30:I,C1CN(CCC1N2CCN(CC2)CC3=CC=CC4=CC=CC=C43)CC5=CC=CC=C5,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,414,97.177
AO-07,1536,50,31:I,C1CN(CCN1CC2=CC=C(C=C2)Cl)C(=O)C3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,415,27.982
AO-07,1536,50,32:I,C1CN(CC2=C1N=C3C=CC(=CN3C2=O)F)C(=O)CC4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,416,6.78
AO-07,1536,50,33:I,CN(C1=CC=CC=C1)C2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,417,52.093
AO-07,1536,50,34:I,CN(CC1=CC=CC=C1)CC2=C(C=CC3=C2OC(=CC4=CC=CC=C4F)C3=O)O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,418,65.959
AO-07,1536,50,35:I,CN(C1=CC=CC=C1)C2=C(C(=O)N(C2=O)C3=CC=CC=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,419,14.153
AO-07,1536,50,36:I,C1=CC(=CC=C1C2=CC=C(O2)C(=O)NCC3=CC=NC=C3)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,420,38.416
AO-07,1536,50,37:I,CCC(NC(NC1=CC=CC=C1C)=O)C,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,421,51.42
AO-07,1536,50,38:I,C1CN(CCN1CC2=CC=CC3=CC=CC=C32)C4=CC=CC=C4F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,422,29.729
AO-07,1536,50,39:I,C1=CC=C(C=C1)NC(=O)C2=NN=C(C=C2)OC3=CC=CC=C3C#N,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,423,5.647
AO-07,1536,50,40:I,C1CN(CCN1C2=CC=CC=C2F)C3=CC(=NC4=NC=NN34)C(F)(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,424,19.37
AO-07,1536,50,41:I,C1CN(CCN1CC2=CC(=CC=C2)Br)C(=O)C3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,425,25.202
AO-07,1536,50,42:I,CC(=CC1=CC=CC=C1)C(=O)N2CCN(CC2)C3=CC=CC=C3OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,426,51.504
AO-07,1536,50,43:I,C1CCC2=C(C1)C3=C(O2)C=CC(=C3)OC(=O)C4=CC=CC=C4[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,427,29.269
AO-07,1536,50,44:I,C1COCCN1C(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,428,0
AO-07,1536,50,45:I,C1=CC=C(C=C1)C(=O)OC2=CC3=CC=CC=C3C=C2,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,429,0
AO-07,1536,50,46:I,CC1=CC(=NC(=N1)N2CCN(CC2)C(=O)C3=CC=CC=C3)OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,430,64.347
AO-07,1536,50,47:I,CC(=O)NC1=CC=CC(=C1)C(=O)NCCCCN2CCN(CC2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,431,50.075
AO-07,1536,50,48:I,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,432,27.501
AO-07,1536,50,1:J,CCN1CCN(CC1)C2=CC=CC=C2NC(=O)CCCC3=CC=CS3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,433,93.005
AO-07,1536,50,2:J,C1(NCCCNC2=C3C4=C(SC3=NC=N2)CCC4)=CC=CC=C1,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,434,26.344
AO-07,1536,50,3:J,CC(C)N1C=NC2=NC(=CC(=O)N21)COC3=C(C=C(C=C3)Cl)NC(=O)NC4=CC=CC=C4OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,435,11.664
AO-07,1536,50,4:J,C1CCN(C1)C2=NC=CC(=C2)CNC(=O)NCCC3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,436,88.027
AO-07,1536,50,5:J,C1=CC=C(C=C1)C(=O)CSC2=NC=NC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,437,11.345
AO-07,1536,50,6:J,COC1=CC=CC=C1NC(=O)C2=CC3=C(O2)C=CC(=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,438,11.152
AO-07,1536,50,7:J,C1COCCN1CC2=CC=CC=C2CNC(=O)C3=NC=CN=C3C4=NC5=CC=CC=C5S4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,439,30.873
AO-07,1536,50,8:J,C1CC1C2=NC(=C(O2)N3CCN(CC3)C(=O)CCCCC(=O)C4=CC=CC=C4)C#N,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,440,24.752
AO-07,1536,50,9:J,CC1=CC=CC=C1OCC(=O)NC2=C(C=CC(=C2)Cl)N3CCN(CC3)C,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,441,63.673
AO-07,1536,50,10:J,C1CCN(CC1)C2=NC=C(C=C2)CNC(=O)C3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,442,42.952
AO-07,1536,50,11:J,CC1=NN(C(=S)N1C2=CC=CC=C2)CN3CCN(CC3)C4=CC=C(C=C4)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,443,5.676
AO-07,1536,50,12:J,CC1CN(CC(O1)C)C(=O)C2=NN(C(=O)C=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,444,95.827
AO-07,1536,50,13:J,CN(CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)C(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,445,26.291
AO-07,1536,50,14:J,CN1C(SC2=NN=NN2C3=CC=CC=C3)=NC([N+]([O-])=O)=N1,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,446,63.32
AO-07,1536,50,15:J,C1=CC=C(C=C1)N2C(=O)C=CC(=N2)C(=O)NC3=CC=NC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,447,26.197
AO-07,1536,50,16:J,CC(C)(C)OC(=O)COC1=CC2=C(C=C1)C(=CC(=O)O2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,448,20.152
AO-07,1536,50,17:J,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C4=NNC(=S)O4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,449,91.008
AO-07,1536,50,18:J,C1COC2=C(C=C(C=C2)S(=O)(=O)NC3=CC=C(C=C3)C4=CC=CC=C4)OC1,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,450,21.374
AO-07,1536,50,19:J,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NCCC4=CC=CC=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,451,13.821
AO-07,1536,50,20:J,CC1=NOC2=C1C(=CC(=N2)C3=CC=C(C=C3)F)C(=O)NC4=CC=CC=C4OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,452,29.822
AO-07,1536,50,21:J,C1CCN(C1)C(=O)CNC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,453,88.006
AO-07,1536,50,22:J,CN1CCN(CC1)C(=O)C2=C3N=C(C=C(N3N=C2)C(F)F)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,454,18.938
AO-07,1536,50,23:J,C1CN(CCN1CN2C(=S)N(C=N2)C3=CC=CC=C3F)C4=NC=CC=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,455,23.004
AO-07,1536,50,24:J,CN(C)S(=O)(=O)C1=CC(=C(C=C1)N2CCOCC2)C(=O)NC3=CC=NC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,456,0
AO-07,1536,50,25:J,CCN1CCN(CC1)C2=CC=CC=C2NC(=O)CCCC3=CC=CS3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,457,93.861
AO-07,1536,50,26:J,C1(NCCCNC2=C3C4=C(SC3=NC=N2)CCC4)=CC=CC=C1,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,458,7.289
AO-07,1536,50,27:J,CC(C)N1C=NC2=NC(=CC(=O)N21)COC3=C(C=C(C=C3)Cl)NC(=O)NC4=CC=CC=C4OC,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,459,26.332
AO-07,1536,50,28:J,C1CCN(C1)C2=NC=CC(=C2)CNC(=O)NCCC3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,460,93.159
AO-07,1536,50,29:J,C1=CC=C(C=C1)C(=O)CSC2=NC=NC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,461,2.643
AO-07,1536,50,30:J,COC1=CC=CC=C1NC(=O)C2=CC3=C(O2)C=CC(=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,462,51.165
AO-07,1536,50,31:J,C1COCCN1CC2=CC=CC=C2CNC(=O)C3=NC=CN=C3C4=NC5=CC=CC=C5S4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,463,30.187
AO-07,1536,50,32:J,C1CC1C2=NC(=C(O2)N3CCN(CC3)C(=O)CCCCC(=O)C4=CC=CC=C4)C#N,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,464,23.762
AO-07,1536,50,33:J,CC1=CC=CC=C1OCC(=O)NC2=C(C=CC(=C2)Cl)N3CCN(CC3)C,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,465,64.823
AO-07,1536,50,34:J,C1CCN(CC1)C2=NC=C(C=C2)CNC(=O)C3=CC=CC=C3F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,466,86.924
AO-07,1536,50,35:J,CC1=NN(C(=S)N1C2=CC=CC=C2)CN3CCN(CC3)C4=CC=C(C=C4)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,467,10.204
